"","X","Y","TP","TN","NTU","Sample","Flow"
"940",12190.3333333333,1,NA,NA,12.5,"A",7.13
"941",12190.4583333333,1,NA,NA,14.8,"A",7.49
"942",12190.5833333333,1,NA,NA,17.7,"A",8.1
"943",12190.7083333333,1,NA,NA,14.3,"A",8.57
"944",12190.8333333333,1,NA,NA,16.2,"A",9.11
"945",12190.9583333333,1,NA,NA,19.7,"A",9.66
"946",12191.0833333333,1,NA,NA,24.2,"A",10.32
"947",12191.2083333333,1,NA,NA,19.2,"A",10.65
"948",12191.3333333333,1,NA,NA,14,"A",10.55
"949",12191.4583333333,1,NA,NA,16.8,"A",10.24
"950",12191.5833333333,1,NA,NA,19.8,"A",9.86
"951",12191.7083333333,1,NA,NA,16.3,"A",9.26
"952",12191.8333333333,1,NA,NA,15.8,"A",8.68
"953",12191.9583333333,1,NA,NA,15.2,"A",8.16
"954",12192.0833333333,1,NA,NA,9.2,"A",7.64
"955",12192.2083333333,1,NA,NA,9,"A",7.11
"956",12192.3333333333,1,NA,NA,9.2,"A",6.5
"957",12192.4583333333,1,NA,NA,10.1,"A",6.07
"958",12194.5833333333,1,0.02,0.87,4,"W",3.37
"961",12199.7916666667,1,NA,NA,10.7,"A",5.65
"962",12199.9166666667,1,NA,NA,9,"A",8.57
"963",12200.0416666667,1,NA,NA,7.4,"A",11.03
"964",12200.1666666667,1,NA,NA,7.1,"A",10.22
"965",12200.2916666667,1,NA,NA,5.4,"A",9.31
"966",12200.4166666667,1,NA,NA,6.4,"A",8.65
"967",12200.5416666667,1,NA,NA,5.4,"A",8.1
"968",12200.6666666667,1,NA,NA,6.7,"A",7.71
"969",12200.7916666667,1,NA,NA,8.1,"A",7.37
"970",12200.9166666667,1,NA,NA,6.7,"A",7.03
"971",12201.0416666667,1,NA,NA,8.8,"A",6.77
"972",12201.1666666667,1,NA,NA,9.9,"A",6.62
"973",12201.2916666667,1,NA,NA,8.3,"A",6.32
"974",12201.4166666667,1,NA,NA,9.5,"A",6.08
"975",12201.5416666667,1,NA,NA,9.4,"A",5.99
"976",12201.6666666667,1,NA,NA,10.4,"A",6.05
"977",12201.7916666667,1,NA,NA,8.4,"A",6.15
"978",12201.9166666667,1,NA,NA,9.5,"A",6.24
"979",12202.0416666667,1,NA,NA,9.4,"A",6.32
"980",12202.0833333333,1,0.033,1.77,NA,"S",6.27
"981",12202.1666666667,1,NA,NA,8.7,"A",6.1
"982",12208.5833333333,1,0.019,0.87,NA,"S",3.95
"983",12214.5833333333,1,0.022,1.09,5.5,"S",3.27
"984",12215.0833333333,1,0.021,1.05,5.5,"R",3.43
"985",12240.5833333333,1,0.02,0.6,5.5,"R",7.13
"986",12257.5833333333,1,0.013,0.56,4.2,"S",5.54
"987",12268.5833333333,1,0.016,0.51,3.7,"R",5.25
"988",12285.5833333333,1,0.018,0.56,4.9,"S",5.51
"989",12295.5833333333,1,0.016,0.43,4.8,"R",4.72
"990",12313.5833333333,1,0.018,0.62,5.7,"S",3.25
"991",12324.5833333333,1,0.016,0.44,4.2,"R",2.16
"992",12341.5833333333,1,0.012,0.45,3.8,"S",2.71
"993",12351.5833333333,1,0.01,0.37,3.9,"R",1.08
"994",12369.5833333333,1,0.018,0.43,15.2,"S",0.21
"1002",12380.2916666667,1,0.019,0.44,6.8,"C",0.64
"1017",12385.5833333333,1,0.012,0.31,4.1,"R",1.71
"1018",12397.15625,1,0.011,0.37,5.6,"S",2.67
"1019",12402.5833333333,1,0.012,0.42,5.5,"R",2.23
"1020",12425.1770833333,1,0.019,0.39,7.8,"S",1.81
"1021",12437.5833333333,1,0.015,0.39,6.3,"R",2.09
"1022",12452.5833333333,1,0.021,0.56,7.3,"S",1.54
"1023",12464.5833333333,1,0.025,0.45,11.8,"R",0.08
"1026",12500.5833333333,1,0.023,0.48,9.1,"R",0.1
"1027",12506.5833333333,1,0.03,0.49,11.7,"S",0.08
"1028",12521.5833333333,1,0.02,0.4,7.6,"R",0.05
"1029",12536.5833333333,1,0.023,0.46,11.6,"S",2.1
"1030",12547.5833333333,1,0.014,0.4,5.1,"R",NA
"1031",12564.5833333333,1,0.014,0.36,4.2,"S",NA
"1032",12575.5833333333,1,0.012,0.31,3.5,"R",0.18
"1033",12593.5833333333,1,0.013,0.27,3.7,"S",0.04
"1034",12604.5833333333,1,0.011,0.24,4.4,"R",NA
"1035",12620.5833333333,1,0.009,0.24,3,"S",0.06
"1036",12631.5833333333,1,0.012,0.25,5.9,"R",0.13
"1037",12648.5833333333,1,0.009,0.25,4.3,"S",0.07
"1038",12660.5833333333,1,0.015,0.32,5.8,"R",0.02
"1039",12674.5833333333,1,0.015,0.3,5.3,"S",0.06
"1040",12689.5833333333,1,0.021,0.28,5.5,"R",0.04
"1041",12717.5833333333,1,0.02,0.35,4.6,"R",1.78
"1042",12731.5833333333,1,0.057,0.87,20.1,"S",5.66
"1043",12731.9479166667,1,0.024,0.85,20.1,"W",5.59
"1044",12745.5833333333,1,0.019,0.43,9.2,"R",4.75
"1045",12758.5833333333,1,0.024,0.48,12.4,"S",NA
"1046",12771.5833333333,1,0.026,0.53,8,"R",4.69
"1047",12788.5833333333,1,0.02,0.44,9,"S",3.89
"1048",12801.5833333333,1,0.023,0.5,10.3,"R",3.84
"1049",12814.5833333333,1,0.03,0.51,11.8,"S",1.43
"1050",12817.9479166667,1,0.033,0.62,3.9,"W",3.42
"1051",12829.5833333333,1,0.025,0.59,17.5,"R",2.09
"1052",12834.15625,1,0.058,1.43,50.3,"W",2.53
"1053",12834.9270833333,1,0.291,2.6,725,"C",70.86
"1054",12842.5833333333,1,0.04,0.89,26.6,"S",3.53
